ticker,ann_date,t_minus1,t_plus1,S_entry,S_exit,iv_near,iv_far,EP,move_pct,raw_pnl,net_pnl,pnl_pct_prem,stop_triggered,lam_earnings,ep_merton,ep_bs
VRTX,2026-02-11,2026-02-10,2026-02-12,463.48,462.0,0.510991,0.406241,0.10475,-0.3193,54.855959,54.778873,710.6206,False,0.486,9.97254,20.540187
AAPL,2026-02-11,2026-02-10,2026-02-12,273.4281,275.3363,0.484064,0.209027,0.275037,0.6979,29.639648,29.594172,650.7569,False,0.486,5.883258,12.117596
IDXX,2026-02-11,2026-02-10,2026-02-12,646.53,651.49,0.432186,0.347419,0.084767,0.7672,61.947528,61.839997,575.0909,False,0.486,13.911165,28.652471
FAST,2026-02-11,2026-02-10,2026-02-12,46.4127,47.099,0.32045,0.230002,0.090447,1.4788,2.927438,2.919719,378.2335,False,0.6584,1.014557,2.056885
ABNB,2026-02-11,2026-02-10,2026-02-12,120.32,119.55,0.447228,0.368911,0.078317,-0.64,12.096507,12.076496,603.4744,False,0.486,2.588884,5.332259
DXCM,2026-02-11,2026-02-10,2026-02-12,68.16,68.01,0.708656,0.25988,0.448776,-0.2201,11.218618,11.207281,988.6131,False,0.486,1.466575,3.020668
AMAT,2026-02-11,2026-02-10,2026-02-12,328.252,339.0352,0.648336,0.489532,0.158804,3.285,39.438761,39.384166,721.3897,False,4.6459,10.047974,14.547247
PAYC,2026-02-11,2026-02-10,2026-02-12,124.2614,106.21,0.48352,0.431866,0.051653,-14.527,-3.729731,-3.750398,-181.4666,True,97.4412,19.317111,5.506932
PANW,2026-02-11,2026-02-10,2026-02-12,165.51,166.29,0.545682,0.311429,0.234253,0.4713,20.653133,20.625605,749.2697,False,0.486,3.561222,7.334957
PCAR,2026-02-11,2026-02-10,2026-02-12,126.3475,129.9663,0.307484,0.239047,0.068437,2.8641,5.843148,5.822134,277.0582,False,3.4465,3.516671,5.599383
CDNS,2026-02-11,2026-02-10,2026-02-12,299.0,298.71,0.871806,0.329607,0.542199,-0.097,60.718768,60.669038,1219.9769,False,0.486,6.43348,13.250875
FTNT,2026-02-11,2026-02-10,2026-02-12,85.53,87.55,0.458201,0.310701,0.1475,2.3617,7.341357,7.327131,515.0759,False,2.2299,2.149668,3.790459
RBLX,2026-02-11,2026-02-10,2026-02-12,71.94,68.34,0.681361,0.564415,0.116945,-5.0042,7.950105,7.93814,663.4436,True,11.2498,3.371348,3.188187
MELI,2026-05-13,2026-05-12,2026-05-14,1578.78,1547.0,0.472113,0.302409,0.169705,-2.0129,146.054103,145.791521,555.2216,False,1.5227,37.303679,69.967281
LRCX,2026-05-13,2026-05-12,2026-05-14,289.24,296.33,0.701435,0.426992,0.274443,2.4513,40.675698,40.627591,844.5365,False,2.4295,7.395099,12.818338
AMD,2026-05-13,2026-05-12,2026-05-14,448.29,440.6,0.790265,0.542105,0.24816,-1.7154,75.439933,75.365374,1010.8076,False,1.0086,10.11627,19.867007
REGN,2026-05-13,2026-05-12,2026-05-14,722.3311,717.9277,0.801167,0.231762,0.569405,-0.6096,131.34187,131.221732,1092.2578,False,0.486,15.542151,32.011771
NVDA,2026-05-13,2026-05-12,2026-05-14,220.523,229.5824,0.518742,0.426697,0.092045,4.1082,18.136735,18.100057,493.4939,True,7.4661,8.258957,9.772985
COIN,2026-05-13,2026-05-12,2026-05-14,207.64,201.25,0.794869,0.629781,0.165088,-3.0774,32.332568,32.298034,935.235,False,4.0338,6.059043,9.202046
AMAT,2026-05-13,2026-05-12,2026-05-14,430.6646,442.7895,0.591497,0.397747,0.193751,2.8154,48.163503,48.091875,671.4106,False,3.3182,11.861672,19.085896
TSLA,2026-05-13,2026-05-12,2026-05-14,433.45,446.49,0.479225,0.327962,0.151263,3.0084,36.490494,36.418402,505.17,False,3.8392,12.453501,19.209338
DXCM,2026-05-13,2026-05-12,2026-05-14,61.14,59.02,0.522781,0.266652,0.256129,-3.4675,5.476729,5.46656,537.5816,True,5.2167,1.954384,2.70956
NFLX,2026-05-13,2026-05-12,2026-05-14,87.66,87.62,0.267852,0.190606,0.077246,-0.0456,5.727849,5.71327,391.8672,False,0.486,1.88615,3.884855
BIIB,2026-05-13,2026-05-12,2026-05-14,199.36,200.25,0.457758,0.283745,0.174013,0.4464,20.909927,20.876769,629.6235,False,0.486,4.289561,8.835099
MRNA,2026-05-13,2026-05-12,2026-05-14,53.27,49.5,0.594194,0.451345,0.142848,-7.0772,3.720117,3.711257,418.8842,True,22.8557,3.884096,2.360783
INTC,2026-05-13,2026-05-12,2026-05-14,120.61,114.66,0.834725,0.476266,0.358459,-4.9333,17.639537,17.619477,878.3456,True,10.9232,5.554669,5.345111
KLAC,2026-05-13,2026-05-12,2026-05-14,1809.041,1842.778,0.616506,0.462989,0.153517,1.8649,229.865761,229.564881,762.9793,False,1.2567,41.743873,80.171829
RBLX,2026-05-13,2026-05-12,2026-05-14,41.54,42.05,0.904286,0.480361,0.423925,1.2277,8.273478,8.266569,1196.5049,False,0.486,0.893802,1.840941
ODFL,2026-05-13,2026-05-12,2026-05-14,190.8781,189.3899,0.305143,0.232608,0.072534,-0.7796,12.703852,12.672105,399.1614,False,0.486,4.107058,8.459201
